日期,动作,重量,组数,次数,容量,部位
2026-01-01,深蹲,80,4,8,2560,腿部
2026-01-01,卧推,60,4,8,1920,胸部
2026-01-01,杠铃划船,50,4,10,2000,背部
2026-01-01,哑铃肩推,18,3,10,540,肩部
2026-01-01,哑铃弯举,12,3,12,432,手臂
2026-01-03,硬拉,100,3,6,1800,背部
2026-01-03,上斜卧推,50,4,8,1600,胸部
2026-01-03,引体向上,0,4,10,0,背部
2026-01-03,侧平举,8,3,15,360,肩部
2026-01-03,三头下压,15,3,12,540,手臂
2026-01-05,深蹲,85,4,8,2720,腿部
2026-01-05,卧推,62.5,4,8,2000,胸部
2026-01-05,杠铃划船,55,4,10,2200,背部
2026-01-05,腿弯举,40,3,12,1440,腿部
2026-01-05,哑铃弯举,14,3,12,504,手臂
2026-01-08,硬拉,105,3,6,1890,背部
2026-01-08,上斜卧推,52.5,4,8,1680,胸部
2026-01-08,引体向上,0,4,12,0,背部
2026-01-08,臀推,80,3,12,2880,腿部
2026-01-08,侧平举,10,3,15,450,肩部
2026-01-10,深蹲,90,4,8,2880,腿部
2026-01-10,卧推,65,4,8,2080,胸部
2026-01-10,杠铃划船,57.5,4,10,2300,背部
2026-01-10,腿屈伸,50,3,12,1800,腿部
2026-01-10,哑铃弯举,15,3,12,540,手臂
2026-01-12,硬拉,110,3,6,1980,背部
2026-01-12,上斜卧推,55,4,8,1760,胸部
2026-01-12,引体向上,0,4,12,0,背部
2026-01-12,面拉,15,3,15,675,肩部
2026-01-12,三头下压,17.5,3,12,630,手臂
2026-01-15,深蹲,92.5,4,8,2960,腿部
2026-01-15,卧推,67.5,4,8,2160,胸部
2026-01-15,杠铃划船,60,4,10,2400,背部
2026-01-15,哑铃肩推,20,3,10,600,肩部
2026-01-15,锤式弯举,14,3,12,504,手臂
2026-01-17,硬拉,112.5,3,6,2025,背部
2026-01-17,上斜卧推,57.5,4,8,1840,胸部
2026-01-17,引体向上,0,4,14,0,背部
2026-01-17,臀推,90,3,12,3240,腿部
2026-01-17,侧平举,12,3,15,540,肩部
