日期,动作,重量,组数,次数,容量,部位
2024-11-17,高位下拉,35.0,1,8,280,背部
2024-11-17,高位下拉,40.0,1,8,320,背部
2024-11-17,高位下拉,40.0,1,8,320,背部
2024-11-17,高位下拉,45.0,1,8,360,背部
2024-11-17,高位下拉,45.0,1,8,360,背部
2024-11-17,下拉器械,15.0,1,8,120,背部
2024-11-17,下拉器械,20.0,1,8,160,背部
2024-11-17,下拉器械,15.0,1,8,120,背部
2024-11-17,上斜推胸,15.0,1,8,120,胸部
2024-11-17,上斜推胸,15.0,1,8,120,胸部
2024-11-17,下斜推胸,20.0,1,8,160,胸部
2024-11-17,下斜推胸,20.0,1,8,160,胸部
2024-11-19,引体向上,0,1,8,0,背部
2024-11-19,引体向上,0,1,5,0,背部
2024-11-19,引体向上,0,1,8,0,背部
2024-11-19,引体向上,0,1,4,0,背部
2024-11-19,引体向上,0,1,5,0,背部
2024-11-19,引体向上,0,1,3,0,背部
2024-11-19,坐姿划船,40.0,1,12,480,背部
2024-11-19,坐姿划船,45.0,1,8,360,背部
2024-11-19,坐姿划船,50.0,1,8,400,背部
2024-11-19,坐姿划船,50.0,1,8,400,背部
2024-11-19,坐姿划船,50.0,1,12,600,背部
2024-11-19,下拉器械,35.0,1,12,420,背部
2024-11-19,下拉器械,35.0,1,12,420,背部
2024-11-19,下拉器械,40.0,1,12,480,背部
2024-11-19,下拉器械,40.0,1,12,480,背部
2024-11-21,上斜推胸,10.0,1,8,80,胸部
2024-11-21,平板推胸,10.0,1,8,80,胸部
2024-11-21,平板推胸,15.0,1,12,180,胸部
2024-11-21,平板推胸,15.0,1,8,120,胸部
2024-11-21,下斜推胸,20.0,1,8,160,胸部
2024-11-21,下斜推胸,25.0,1,8,200,胸部
2024-11-21,下斜推胸,25.0,1,10,250,胸部
2024-11-21,坐姿推胸,40.0,1,10,400,胸部
2024-11-21,坐姿推胸,45.0,1,12,540,胸部
2024-11-23,夹腿,50.0,1,8,400,腿部
2024-11-23,夹腿,50.0,1,8,400,腿部
2024-11-23,夹腿,55.0,1,8,440,腿部
2024-11-23,夹腿,60.0,1,8,480,腿部
2024-11-23,夹腿,65.0,1,8,520,腿部
2024-11-23,夹腿,65.0,1,8,520,腿部
2024-11-23,夹腿,70.0,1,8,560,腿部
2024-11-23,单腿后踢,50.0,1,8,400,腿部
2024-11-23,单腿后踢,55.0,1,8,440,腿部
2024-11-23,单腿后踢,60.0,1,8,480,腿部
2024-11-28,上斜推胸,15.0,1,8,120,胸部
